model,val__auroc,val__auprc,val__recall_at_top10pct,test__auroc,test__auprc,test__precision_at_top10pct,test__recall_at_top10pct,test__f1_at_top10pct,test__recall_at_top20pct,test__recall_at_val_top10_threshold
improved_multimodal_gru_transformer,0.781423611111111,0.40236105069836914,0.3333333333333333,0.9237057220708447,0.2751935088932599,0.25862068965517243,0.5882352941176471,0.3592814371257485,0.8823529411764706,0.09803921568627451
cnn_1d,0.7570891203703703,0.44896343391218096,0.5,0.8126836565688945,0.1066680112960432,0.12931034482758622,0.29411764705882354,0.17964071856287425,0.4117647058823529,0.13725490196078433
improved_multimodal_gru_transformer_seed_ensemble,0.8079282407407408,0.4842252697745968,0.4791666666666667,0.7856672187494435,0.10679936555175662,0.12931034482758622,0.29411764705882354,0.17964071856287425,0.5294117647058824,0.0784313725490196
hybrid_top_rank_ensemble,0.8267650462962963,0.45129892162374696,0.5416666666666666,0.7745721358479813,0.09053930922471085,0.034482758620689655,0.0784313725490196,0.04790419161676647,0.45098039215686275,0.0784313725490196
top_neural_rank_ensemble,0.8194444444444444,0.40523344402789546,0.4375,0.7393278837420527,0.07677468195119533,0.034482758620689655,0.0784313725490196,0.04790419161676647,0.39215686274509803,0.0784313725490196
gru,0.8457175925925926,0.42195713377914534,0.4583333333333333,0.7290698295667041,0.08528159741259708,0.09482758620689655,0.21568627450980393,0.1317365269461078,0.45098039215686275,0.0
logistic_regression,0.8326388888888889,0.31291049067041193,0.4166666666666667,0.7250449680326263,0.08819464795536926,0.09482758620689655,0.21568627450980393,0.1317365269461078,0.27450980392156865,0.11764705882352941
elastic_net_logistic_regression,0.8324363425925926,0.32806084699523447,0.4375,0.7237805203825399,0.08711796709394189,0.09482758620689655,0.21568627450980393,0.1317365269461078,0.27450980392156865,0.09803921568627451
gru_seed_ensemble,0.8271122685185185,0.39229980944573645,0.3541666666666667,0.715338996634076,0.09804549186130564,0.1206896551724138,0.27450980392156865,0.16766467065868262,0.4117647058823529,0.0392156862745098
lstm,0.7182291666666667,0.29582581682700776,0.2708333333333333,0.6478424248900287,0.11715275916414661,0.1206896551724138,0.27450980392156865,0.16766467065868262,0.29411764705882354,0.2549019607843137
transformer_encoder,0.8244212962962962,0.3274593232127477,0.4166666666666667,0.6441381275489305,0.07601191396236473,0.12931034482758622,0.29411764705882354,0.17964071856287425,0.29411764705882354,0.19607843137254902
tcn,0.6740451388888888,0.296748676781254,0.4166666666666667,0.5872736015387081,0.05002408075434276,0.0,0.0,0.0,0.1568627450980392,0.0
extra_trees_tuned,0.5591724537037037,0.06490877569616775,0.0,0.5300707022136738,0.04667087219089579,0.017241379310344827,0.0392156862745098,0.023952095808383235,0.29411764705882354,0.0
random_forest_tuned,0.6638888888888889,0.08593171297973005,0.0,0.47632277252408683,0.04275903060772972,0.0,0.0,0.0,0.21568627450980393,0.0
lightgbm_tuned,0.6623697916666665,0.1012958759433081,0.0,0.4663763779808018,0.0529630324189902,0.05945945945945946,0.21568627450980393,0.09322033898305085,0.21568627450980393,0.21568627450980393
attention_gru_seed_ensemble,0.7630208333333333,0.337341101240531,0.4375,0.4253708749621556,0.036684650479861566,0.0,0.0,0.0,0.1568627450980392,0.0
attention_gru,0.8002893518518519,0.3584485305765765,0.4375,0.41240583426831223,0.034887970949075524,0.0,0.0,0.0,0.0,0.0
xgboost_tuned,0.690552662037037,0.1764044983982704,0.5833333333333334,0.40151555626792046,0.04776531800333178,0.01818181818181818,0.0784313725490196,0.02952029520295203,0.0784313725490196,0.0784313725490196
catboost_tuned,0.7411168981481482,0.13343005760118706,0.20833333333333334,0.3902690958308846,0.04267561350678423,0.0,0.0,0.0,0.0,0.0
flattened_window_xgboost_tuned,0.9031828703703705,0.4276954040848719,0.4375,0.3259692614557176,0.03095422730754451,0.0,0.0,0.0,0.0784313725490196,0.0392156862745098
