iso3,year_month,fx_rate,fx_mom_pct_change,fx_yoy_pct_change,fx_3m_pct_change,fx_6m_pct_change,fx_volatility_3m
ARG,2000-01-01,0.9995,,,,,
ARG,2000-02-01,0.9995,0.0,,,,
ARG,2000-03-01,0.9995,0.0,,,,
ARG,2000-04-01,0.9995,0.0,,0.0,,0.0
ARG,2000-05-01,0.9995,0.0,,0.0,,0.0
ARG,2000-06-01,0.9995,0.0,,0.0,,0.0
ARG,2000-07-01,0.9995,0.0,,0.0,0.0,0.0
ARG,2000-08-01,0.9995,0.0,,0.0,0.0,0.0
ARG,2000-09-01,0.9995,0.0,,0.0,0.0,0.0
ARG,2000-10-01,0.9995,0.0,,0.0,0.0,0.0
ARG,2000-11-01,0.9995,0.0,,0.0,0.0,0.0
ARG,2000-12-01,0.9995,0.0,,0.0,0.0,0.0
ARG,2001-01-01,0.9995,0.0,0.0,0.0,0.0,0.0
ARG,2001-02-01,0.9995,0.0,0.0,0.0,0.0,0.0
ARG,2001-03-01,0.9995,0.0,0.0,0.0,0.0,0.0
ARG,2001-04-01,0.9995,0.0,0.0,0.0,0.0,0.0
ARG,2001-05-01,0.9995,0.0,0.0,0.0,0.0,0.0
ARG,2001-06-01,0.9995,0.0,0.0,0.0,0.0,0.0
ARG,2001-07-01,0.9995,0.0,0.0,0.0,0.0,0.0
ARG,2001-08-01,0.9995,0.0,0.0,0.0,0.0,0.0
ARG,2001-09-01,0.9995,0.0,0.0,0.0,0.0,0.0
ARG,2001-10-01,0.9995,0.0,0.0,0.0,0.0,0.0
ARG,2001-11-01,0.9995,0.0,0.0,0.0,0.0,0.0
ARG,2001-12-01,0.9995,0.0,0.0,0.0,0.0,0.0
ARG,2002-01-01,1.4,40.070035017508744,40.070035017508744,40.070035017508744,40.070035017508744,23.134445503796403
ARG,2002-02-01,2.1,50.00000000000002,110.10505252626315,110.10505252626315,110.10505252626315,26.47077605857033
ARG,2002-03-01,2.95,40.47619047619049,195.14757378689347,195.14757378689347,195.14757378689347,5.6194915940845975
ARG,2002-04-01,2.93,-0.6779661016949157,193.1465732866433,109.28571428571429,193.1465732866433,26.933943267704212
ARG,2002-05-01,3.55,21.160409556313976,255.1775887943972,69.04761904761902,255.1775887943972,20.589959719735926
ARG,2002-06-01,3.75,5.633802816901423,275.18759379689845,27.118644067796605,275.18759379689845,11.238539311245354
ARG,2002-07-01,3.65,-2.6666666666666727,265.1825912956478,24.573378839590433,160.71428571428572,12.094784494592039
ARG,2002-08-01,3.58,-1.9178082191780743,258.17908954477235,0.8450704225352101,70.47619047619047,4.591394339091614
