iso3,feature,country_raw,series_code,frequency,nonnull_count,indicator,bop_accounting_entry,unit
IDN,bop_current_account_balance_usd,Indonesia,IDN.NETCD_T.CAB.USD.Q,Quarterly,180,Current account balance (credit less debit),Net (credits less debits),US dollar
IDN,bop_portfolio_liabilities_usd,Indonesia,IDN.L_NIL_T.P_F.USD.Q,Quarterly,180,"Portfolio investment, Total financial assets/liabilities","Liabilities, Net incurrence of liabilities",US dollar
PAK,bop_workers_remittances_credit_usd,Pakistan,PAK.CD_T.D752W_S1W.USD.Q,Quarterly,152,"Workers' remittances, Financial corporations, nonfinancial corporations, households, and NPISHs",Credit/Revenue,US dollar
PAK,bop_reserve_assets_usd,Pakistan,PAK.A_T.R_AFR.USD.Q,Quarterly,200,"Reserve assets, Adjusted using IMF accounting records",Assets,US dollar
PAK,bop_other_investment_loans_liabilities_usd,Pakistan,PAK.L_NIL_T.O_F4.USD.Q,Quarterly,200,"Other investment, Loans","Liabilities, Net incurrence of liabilities",US dollar
PAK,bop_current_account_balance_usd,Pakistan,PAK.NETCD_T.CAB.USD.Q,Quarterly,200,Current account balance (credit less debit),Net (credits less debits),US dollar
PAK,bop_portfolio_liabilities_usd,Pakistan,PAK.L_NIL_T.P_F.USD.Q,Quarterly,200,"Portfolio investment, Total financial assets/liabilities","Liabilities, Net incurrence of liabilities",US dollar
IDN,bop_other_investment_loans_liabilities_usd,Indonesia,IDN.L_NIL_T.O_F4.USD.Q,Quarterly,180,"Other investment, Loans","Liabilities, Net incurrence of liabilities",US dollar
HUN,bop_portfolio_liabilities_usd,Hungary,HUN.L_NIL_T.P_F.USD.Q,Quarterly,145,"Portfolio investment, Total financial assets/liabilities","Liabilities, Net incurrence of liabilities",US dollar
HUN,bop_workers_remittances_credit_usd,Hungary,HUN.CD_T.D752W_S1W.USD.Q,Quarterly,145,"Workers' remittances, Financial corporations, nonfinancial corporations, households, and NPISHs",Credit/Revenue,US dollar
HUN,bop_fdi_liabilities_usd,Hungary,HUN.L_NIL_T.D_F.USD.Q,Quarterly,145,"Direct investment, Total financial assets/liabilities","Liabilities, Net incurrence of liabilities",US dollar
HUN,bop_reserve_assets_usd,Hungary,HUN.A_T.R_AFR.USD.Q,Quarterly,145,"Reserve assets, Adjusted using IMF accounting records",Assets,US dollar
HUN,bop_other_investment_loans_liabilities_usd,Hungary,HUN.L_NIL_T.O_F4.USD.Q,Quarterly,145,"Other investment, Loans","Liabilities, Net incurrence of liabilities",US dollar
HUN,bop_current_account_balance_usd,Hungary,HUN.NETCD_T.CAB.USD.Q,Quarterly,145,Current account balance (credit less debit),Net (credits less debits),US dollar
ARG,bop_reserve_assets_usd,Argentina,ARG.A_T.R_AFR.USD.Q,Quarterly,200,"Reserve assets, Adjusted using IMF accounting records",Assets,US dollar
ARG,bop_workers_remittances_credit_usd,Argentina,ARG.CD_T.D752W_S1W.USD.Q,Quarterly,200,"Workers' remittances, Financial corporations, nonfinancial corporations, households, and NPISHs",Credit/Revenue,US dollar
ARG,bop_portfolio_liabilities_usd,Argentina,ARG.L_NIL_T.P_F.USD.Q,Quarterly,200,"Portfolio investment, Total financial assets/liabilities","Liabilities, Net incurrence of liabilities",US dollar
ARG,bop_fdi_liabilities_usd,Argentina,ARG.L_NIL_T.D_F.USD.Q,Quarterly,200,"Direct investment, Total financial assets/liabilities","Liabilities, Net incurrence of liabilities",US dollar
ARG,bop_current_account_balance_usd,Argentina,ARG.NETCD_T.CAB.USD.Q,Quarterly,200,Current account balance (credit less debit),Net (credits less debits),US dollar
ARG,bop_other_investment_loans_liabilities_usd,Argentina,ARG.L_NIL_T.O_F4.USD.Q,Quarterly,200,"Other investment, Loans","Liabilities, Net incurrence of liabilities",US dollar
