iso3,year_month,cpi_index,cpi_mom_pct,cpi_yoy_pct,cpi_yoy_acceleration
ARG,2016-12-01,100.0,,,
ARG,2017-01-01,101.5859,1.5858999999999845,,
ARG,2017-02-01,103.6859,2.0672160211210544,,
ARG,2017-03-01,106.1476,2.3741897403600554,,
ARG,2017-04-01,108.9667,2.6558301836310916,,
ARG,2017-05-01,110.5301,1.4347502493881281,,
ARG,2017-06-01,111.8477,1.1920734713892323,,
ARG,2017-07-01,113.7852,1.7322662871029015,,
ARG,2017-08-01,115.3819,1.4032580687119323,,
ARG,2017-09-01,117.5719,1.8980446673178442,,
ARG,2017-10-01,119.3528,1.5147326869770827,,
ARG,2017-11-01,120.994,1.3750829473627713,,
ARG,2017-12-01,124.7956,3.1419739821809234,24.795599999999986,
ARG,2018-01-01,126.9887,1.7573536246470178,25.006226257777907,
ARG,2018-02-01,130.0606,2.419034134533238,25.437113435867364,
ARG,2018-03-01,133.1054,2.3410625508416993,25.396523331662713,0.6009233316627274
ARG,2018-04-01,136.7512,2.7390323758465174,25.498156776336266,0.4919305185583589
ARG,2018-05-01,139.5893,2.0753748413176565,26.290756997415187,0.8536435615478233
ARG,2018-06-01,144.8053,3.736676091935398,29.466497746489196,4.069974414826483
ARG,2018-07-01,149.2966,3.1016129934470893,31.20915549649692,5.710998720160653
ARG,2018-08-01,155.1034,3.8894388753662135,34.42611016112578,8.13535316371059
ARG,2018-09-01,165.2383,6.534286160071301,40.54234047421197,11.075842727722772
ARG,2018-10-01,174.1473,5.391607151610733,45.90968959253574,14.700534096038822
ARG,2018-11-01,179.6388,3.1533649961842602,48.46918028993174,14.043070128805965
ARG,2018-12-01,184.2552,2.569823445714392,47.64559006888065,7.103249594668682
ARG,2019-01-01,189.6101,2.9062409093474573,49.31257663083408,3.4028870382983385
ARG,2019-02-01,196.7501,3.765622189957196,51.275713013779736,2.806532723847994
ARG,2019-03-01,205.9571,4.679540188289599,54.73233993511908,7.086749866238428
ARG,2019-04-01,213.0517,3.444697949233122,55.79512282159131,6.482546190757233
ARG,2019-05-01,219.5691,3.0590696999836187,57.29651198193557,6.020798968155837
ARG,2019-06-01,225.537,2.718005402399526,55.75189582149274,1.0195558863736593
ARG,2019-07-01,230.494,2.197865538692101,54.38663707010072,-1.4084857514905949
ARG,2019-08-01,239.6077,3.953985787048686,54.48255808705677,-2.8139538948788
ARG,2019-09-01,253.7102,5.885662272122305,53.54200569722636,-2.20989012426638
ARG,2019-10-01,262.0661,3.2934820909841234,50.485307552858984,-3.9013295172417344
ARG,2019-11-01,273.2158,4.254537309480311,52.09175300658877,-2.390805080468006
ARG,2019-12-01,283.4442,3.743707355138337,53.83240201633388,0.29039631910752206
ARG,2020-01-01,289.8299,2.2528949260559816,52.85572867690067,2.370421124041684
ARG,2020-02-01,295.666,2.0136293736429556,50.27489185520109,-1.816861151387677
ARG,2020-03-01,305.5515,3.343468643672254,48.3568665513352,-5.4755354649986785
ARG,2020-04-01,310.1243,1.496572590872569,45.56293143870713,-7.292797238193536
ARG,2020-05-01,314.9087,1.542736251238619,43.42122821471692,-6.8536636404841715
ARG,2020-06-01,321.9738,2.2435391591276943,42.75874911876987,-5.598117432565331
ARG,2020-07-01,328.2014,1.9341946456512993,42.390430987357576,-3.1725004513495563
